Media Type,Fandom Names,Number of Works,Fandom Link,Media Link
Anime & Manga,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),30809,/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works,/media/Anime%20*a*%20Manga/fandoms
Anime & Manga,Haikyuu!!,15828,/tags/Haikyuu!!/works,/media/Anime%20*a*%20Manga/fandoms
Anime & Manga,Sherlock Holmes & Related Fandoms,13491,/tags/Sherlock%20Holmes%20*a*%20Related%20Fandoms/works,/media/Anime%20*a*%20Manga/fandoms
Anime & Manga,Naruto (Anime & Manga),11486,/tags/Naruto%20(Anime%20*a*%20Manga)/works,/media/Anime%20*a*%20Manga/fandoms
Anime & Manga,Shingeki no Kyojin | Attack on Titan,8603,/tags/Shingeki%20no%20Kyojin%20%7C%20Attack%20on%20Titan/works,/media/Anime%20*a*%20Manga/fandoms
Books & Literature,Harry Potter - J. K. Rowling,48258,/tags/Harry%20Potter%20-%20J*d*%20K*d*%20Rowling/works,/media/Books%20*a*%20Literature/fandoms
Books & Literature,Star Wars - All Media Types,23483,/tags/Star%20Wars%20-%20All%20Media%20Types/works,/media/Books%20*a*%20Literature/fandoms
Books & Literature,Sherlock Holmes & Related Fandoms,13491,/tags/Sherlock%20Holmes%20*a*%20Related%20Fandoms/works,/media/Books%20*a*%20Literature/fandoms
Books & Literature,TOLKIEN J. R. R. - Works & Related Fandoms,9996,/tags/TOLKIEN%20J*d*%20R*d*%20R*d*%20-%20Works%20*a*%20Related%20Fandoms/works,/media/Books%20*a*%20Literature/fandoms
Books & Literature,A Song of Ice and Fire & Related Fandoms,9502,/tags/A%20Song%20of%20Ice%20and%20Fire%20*a*%20Related%20Fandoms/works,/media/Books%20*a*%20Literature/fandoms
Cartoons & Comics & Graphic Novels,Marvel,62083,/tags/Marvel/works,/media/Cartoons%20*a*%20Comics%20*a*%20Graphic%20Novels/fandoms
Cartoons & Comics & Graphic Novels,DCU,31573,/tags/DCU/works,/media/Cartoons%20*a*%20Comics%20*a*%20Graphic%20Novels/fandoms
Cartoons & Comics & Graphic Novels,Star Wars - All Media Types,23483,/tags/Star%20Wars%20-%20All%20Media%20Types/works,/media/Cartoons%20*a*%20Comics%20*a*%20Graphic%20Novels/fandoms
Cartoons & Comics & Graphic Novels,Sherlock Holmes & Related Fandoms,13491,/tags/Sherlock%20Holmes%20*a*%20Related%20Fandoms/works,/media/Cartoons%20*a*%20Comics%20*a*%20Graphic%20Novels/fandoms
Cartoons & Comics & Graphic Novels,Batman - All Media Types,12352,/tags/Batman%20-%20All%20Media%20Types/works,/media/Cartoons%20*a*%20Comics%20*a*%20Graphic%20Novels/fandoms
Celebrities & Real People,Real Person Fiction,68973,/tags/Real%20Person%20Fiction/works,/media/Celebrities%20*a*%20Real%20People/fandoms
Celebrities & Real People,Video Blogging RPF,27255,/tags/Video%20Blogging%20RPF/works,/media/Celebrities%20*a*%20Real%20People/fandoms
Celebrities & Real People,Actor RPF,12675,/tags/Actor%20RPF/works,/media/Celebrities%20*a*%20Real%20People/fandoms
Celebrities & Real People,Sports RPF,12087,/tags/Sports%20RPF/works,/media/Celebrities%20*a*%20Real%20People/fandoms
Celebrities & Real People,Music RPF,9651,/tags/Music%20RPF/works,/media/Celebrities%20*a*%20Real%20People/fandoms
Movies,Marvel,62083,/tags/Marvel/works,/media/Movies/fandoms
Movies,Marvel Cinematic Universe,50549,/tags/Marvel%20Cinematic%20Universe/works,/media/Movies/fandoms
Movies,Harry Potter - J. K. Rowling,48258,/tags/Harry%20Potter%20-%20J*d*%20K*d*%20Rowling/works,/media/Movies/fandoms
Movies,DCU,31573,/tags/DCU/works,/media/Movies/fandoms
